SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2012S1,TOTAL,Y000,M,POP,,42107
2012S1,TOTAL,Y000,F,POP,,39772
2012S1,TOTAL,Y000,TOTAL,POP,,81879
2012S1,TOTAL,Y001,M,POP,,44220
2012S1,TOTAL,Y001,F,POP,,41018
2012S1,TOTAL,Y001,TOTAL,POP,,85238
2012S1,TOTAL,Y002,M,POP,,44413
2012S1,TOTAL,Y002,F,POP,,40993
2012S1,TOTAL,Y002,TOTAL,POP,,85406
2012S1,TOTAL,Y003,M,POP,,46203
2012S1,TOTAL,Y003,F,POP,,43326
2012S1,TOTAL,Y003,TOTAL,POP,,89529
2012S1,TOTAL,Y004,M,POP,,44102
2012S1,TOTAL,Y004,F,POP,,41162
2012S1,TOTAL,Y004,TOTAL,POP,,85264
2012S1,TOTAL,Y005,M,POP,,43804
2012S1,TOTAL,Y005,F,POP,,41000
2012S1,TOTAL,Y005,TOTAL,POP,,84804
2012S1,TOTAL,Y006,M,POP,,42825
2012S1,TOTAL,Y006,F,POP,,39966
2012S1,TOTAL,Y006,TOTAL,POP,,82791
2012S1,TOTAL,Y007,M,POP,,41735
2012S1,TOTAL,Y007,F,POP,,39587
2012S1,TOTAL,Y007,TOTAL,POP,,81322
2012S1,TOTAL,Y008,M,POP,,40641
2012S1,TOTAL,Y008,F,POP,,38005
2012S1,TOTAL,Y008,TOTAL,POP,,78646
2012S1,TOTAL,Y009,M,POP,,38682
2012S1,TOTAL,Y009,F,POP,,36476
2012S1,TOTAL,Y009,TOTAL,POP,,75158
2012S1,TOTAL,Y010,M,POP,,37719
2012S1,TOTAL,Y010,F,POP,,35735
2012S1,TOTAL,Y010,TOTAL,POP,,73454
2012S1,TOTAL,Y011,M,POP,,37829
2012S1,TOTAL,Y011,F,POP,,36009
2012S1,TOTAL,Y011,TOTAL,POP,,73838
2012S1,TOTAL,Y012,M,POP,,36391
2012S1,TOTAL,Y012,F,POP,,34644
2012S1,TOTAL,Y012,TOTAL,POP,,71035
2012S1,TOTAL,Y013,M,POP,,35514
2012S1,TOTAL,Y013,F,POP,,32752
2012S1,TOTAL,Y013,TOTAL,POP,,68266
2012S1,TOTAL,Y014,M,POP,,35467
2012S1,TOTAL,Y014,F,POP,,33151
2012S1,TOTAL,Y014,TOTAL,POP,,68618
2012S1,TOTAL,Y015,M,POP,,34902
2012S1,TOTAL,Y015,F,POP,,31935
2012S1,TOTAL,Y015,TOTAL,POP,,66837
2012S1,TOTAL,Y016,M,POP,,34149
2012S1,TOTAL,Y016,F,POP,,31932
2012S1,TOTAL,Y016,TOTAL,POP,,66081
2012S1,TOTAL,Y017,M,POP,,34655
2012S1,TOTAL,Y017,F,POP,,32177
2012S1,TOTAL,Y017,TOTAL,POP,,66832
2012S1,TOTAL,Y018,M,POP,,35468
2012S1,TOTAL,Y018,F,POP,,32917
2012S1,TOTAL,Y018,TOTAL,POP,,68385
2012S1,TOTAL,Y019,M,POP,,36537
2012S1,TOTAL,Y019,F,POP,,34146
2012S1,TOTAL,Y019,TOTAL,POP,,70683
2012S1,TOTAL,Y020,M,POP,,36417
2012S1,TOTAL,Y020,F,POP,,34195
2012S1,TOTAL,Y020,TOTAL,POP,,70612
2012S1,TOTAL,Y021,M,POP,,37109
2012S1,TOTAL,Y021,F,POP,,35363
2012S1,TOTAL,Y021,TOTAL,POP,,72472
2012S1,TOTAL,Y022,M,POP,,38081
2012S1,TOTAL,Y022,F,POP,,36805
2012S1,TOTAL,Y022,TOTAL,POP,,74886
2012S1,TOTAL,Y023,M,POP,,39198
2012S1,TOTAL,Y023,F,POP,,39049
2012S1,TOTAL,Y023,TOTAL,POP,,78247
2012S1,TOTAL,Y024,M,POP,,40705
2012S1,TOTAL,Y024,F,POP,,40558
2012S1,TOTAL,Y024,TOTAL,POP,,81263
2012S1,TOTAL,Y025,M,POP,,42425
2012S1,TOTAL,Y025,F,POP,,43296
2012S1,TOTAL,Y025,TOTAL,POP,,85721
2012S1,TOTAL,Y026,M,POP,,45681
2012S1,TOTAL,Y026,F,POP,,46042
2012S1,TOTAL,Y026,TOTAL,POP,,91723
2012S1,TOTAL,Y027,M,POP,,48115
2012S1,TOTAL,Y027,F,POP,,48612
2012S1,TOTAL,Y027,TOTAL,POP,,96727
2012S1,TOTAL,Y028,M,POP,,50881
2012S1,TOTAL,Y028,F,POP,,50850
2012S1,TOTAL,Y028,TOTAL,POP,,101731
2012S1,TOTAL,Y029,M,POP,,55439
2012S1,TOTAL,Y029,F,POP,,54378
2012S1,TOTAL,Y029,TOTAL,POP,,109817
2012S1,TOTAL,Y030,M,POP,,59092
2012S1,TOTAL,Y030,F,POP,,56793
2012S1,TOTAL,Y030,TOTAL,POP,,115885
2012S1,TOTAL,Y031,M,POP,,62821
2012S1,TOTAL,Y031,F,POP,,60470
2012S1,TOTAL,Y031,TOTAL,POP,,123291
2012S1,TOTAL,Y032,M,POP,,65745
2012S1,TOTAL,Y032,F,POP,,62488
2012S1,TOTAL,Y032,TOTAL,POP,,128233
2012S1,TOTAL,Y033,M,POP,,70139
2012S1,TOTAL,Y033,F,POP,,65585
2012S1,TOTAL,Y033,TOTAL,POP,,135724
