any;Catalunya;edat any a any;nacionalitat;sexe;concepte;estat;valor
2021;Catalunya;0 anys;espanyola;homes;població;;22658
2021;Catalunya;0 anys;espanyola;dones;població;;21834
2021;Catalunya;0 anys;espanyola;total;població;;44492
2021;Catalunya;0 anys;estrangera;homes;població;;6946
2021;Catalunya;0 anys;estrangera;dones;població;;6597
2021;Catalunya;0 anys;estrangera;total;població;;13543
2021;Catalunya;0 anys;total;homes;població;;29604
2021;Catalunya;0 anys;total;dones;població;;28431
2021;Catalunya;0 anys;total;total;població;;58035
2021;Catalunya;1 any;espanyola;homes;població;;24606
2021;Catalunya;1 any;espanyola;dones;població;;23544
2021;Catalunya;1 any;espanyola;total;població;;48150
2021;Catalunya;1 any;estrangera;homes;població;;7258
2021;Catalunya;1 any;estrangera;dones;població;;6972
2021;Catalunya;1 any;estrangera;total;població;;14230
2021;Catalunya;1 any;total;homes;població;;31864
2021;Catalunya;1 any;total;dones;població;;30516
2021;Catalunya;1 any;total;total;població;;62380
2021;Catalunya;2 anys;espanyola;homes;població;;26184
2021;Catalunya;2 anys;espanyola;dones;població;;24927
2021;Catalunya;2 anys;espanyola;total;població;;51111
2021;Catalunya;2 anys;estrangera;homes;població;;6738
2021;Catalunya;2 anys;estrangera;dones;població;;6444
2021;Catalunya;2 anys;estrangera;total;població;;13182
2021;Catalunya;2 anys;total;homes;població;;32922
2021;Catalunya;2 anys;total;dones;població;;31371
2021;Catalunya;2 anys;total;total;població;;64293
2021;Catalunya;3 anys;espanyola;homes;població;;28681
2021;Catalunya;3 anys;espanyola;dones;població;;27054
2021;Catalunya;3 anys;espanyola;total;població;;55735
2021;Catalunya;3 anys;estrangera;homes;població;;6941
2021;Catalunya;3 anys;estrangera;dones;població;;6525
2021;Catalunya;3 anys;estrangera;total;població;;13466
2021;Catalunya;3 anys;total;homes;població;;35622
2021;Catalunya;3 anys;total;dones;població;;33579
2021;Catalunya;3 anys;total;total;població;;69201
2021;Catalunya;4 anys;espanyola;homes;població;;30306
2021;Catalunya;4 anys;espanyola;dones;població;;28685
2021;Catalunya;4 anys;espanyola;total;població;;58991
2021;Catalunya;4 anys;estrangera;homes;població;;6846
2021;Catalunya;4 anys;estrangera;dones;població;;6530
2021;Catalunya;4 anys;estrangera;total;població;;13376
2021;Catalunya;4 anys;total;homes;població;;37152
2021;Catalunya;4 anys;total;dones;població;;35215
2021;Catalunya;4 anys;total;total;població;;72367
2021;Catalunya;5 anys;espanyola;homes;població;;31428
2021;Catalunya;5 anys;espanyola;dones;població;;29652
2021;Catalunya;5 anys;espanyola;total;població;;61080
2021;Catalunya;5 anys;estrangera;homes;població;;6963
2021;Catalunya;5 anys;estrangera;dones;població;;6531
2021;Catalunya;5 anys;estrangera;total;població;;13494
2021;Catalunya;5 anys;total;homes;població;;38391
2021;Catalunya;5 anys;total;dones;població;;36183
2021;Catalunya;5 anys;total;total;població;;74574
2021;Catalunya;6 anys;espanyola;homes;població;;32158
2021;Catalunya;6 anys;espanyola;dones;població;;29905
2021;Catalunya;6 anys;espanyola;total;població;;62063
2021;Catalunya;6 anys;estrangera;homes;població;;7064
2021;Catalunya;6 anys;estrangera;dones;població;;6507
2021;Catalunya;6 anys;estrangera;total;població;;13571
2021;Catalunya;6 anys;total;homes;població;;39222
2021;Catalunya;6 anys;total;dones;població;;36412
2021;Catalunya;6 anys;total;total;població;;75634
2021;Catalunya;7 anys;espanyola;homes;població;;32079
2021;Catalunya;7 anys;espanyola;dones;població;;30357
2021;Catalunya;7 anys;espanyola;total;població;;62436
2021;Catalunya;7 anys;estrangera;homes;població;;6557
2021;Catalunya;7 anys;estrangera;dones;població;;6115
2021;Catalunya;7 anys;estrangera;total;població;;12672
2021;Catalunya;7 anys;total;homes;població;;38636
2021;Catalunya;7 anys;total;dones;població;;36472
2021;Catalunya;7 anys;total;total;població;;75108
2021;Catalunya;8 anys;espanyola;homes;població;;34738
2021;Catalunya;8 anys;espanyola;dones;població;;32630
2021;Catalunya;8 anys;espanyola;total;població;;67368
2021;Catalunya;8 anys;estrangera;homes;població;;6445
2021;Catalunya;8 anys;estrangera;dones;població;;6053
2021;Catalunya;8 anys;estrangera;total;població;;12498
2021;Catalunya;8 anys;total;homes;població;;41183
2021;Catalunya;8 anys;total;dones;població;;38683
2021;Catalunya;8 anys;total;total;població;;79866
2021;Catalunya;9 anys;espanyola;homes;població;;36242
2021;Catalunya;9 anys;espanyola;dones;població;;34269
2021;Catalunya;9 anys;espanyola;total;població;;70511
2021;Catalunya;9 anys;estrangera;homes;població;;6117
2021;Catalunya;9 anys;estrangera;dones;població;;5670
2021;Catalunya;9 anys;estrangera;total;població;;11787
2021;Catalunya;9 anys;total;homes;població;;42359
2021;Catalunya;9 anys;total;dones;població;;39939
2021;Catalunya;9 anys;total;total;població;;82298
2021;Catalunya;10 anys;espanyola;homes;població;;37653
2021;Catalunya;10 anys;espanyola;dones;població;;35240
2021;Catalunya;10 anys;espanyola;total;població;;72893
2021;Catalunya;10 anys;estrangera;homes;població;;6064
2021;Catalunya;10 anys;estrangera;dones;població;;5647
2021;Catalunya;10 anys;estrangera;total;població;;11711
2021;Catalunya;10 anys;total;homes;població;;43717
2021;Catalunya;10 anys;total;dones;població;;40887
2021;Catalunya;10 anys;total;total;població;;84604
