Ocupació en allotjaments turístics. Per tipus
Catalunya
Font: Idescat, a partir de les enquestes d'ocupació en allotjaments turístics de l'INE.
Notes:
 En l'ocupació en els allotjaments turístics, no s'hi inclouen els apartaments.
 Entre el 14 de març i el 21 de juny del 2020 està vigent el Reial decret 463/2020, de 14 de març, pel qual es declara l'estat d'alarma per a la gestió de la situació de crisi sanitària ocasionada per la covid-19.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15528&tema=TURIS
;Viatgers (milers);Establiments hotelers;Càmpings;Turisme rural;Pernoctacions (milers);Establiments hotelers;Càmpings;Turisme rural;Grau d'ocupació (%);Establiments hotelers;Càmpings;Turisme rural
2023;25719,3;21207,1;4006,0;506,2;79113,8;58690,2;19078,4;1345,2;;70,0;48,1;26,4
2022;23413,3;19095,9;3825,4;492,0;72871,5;53109,8;18475,9;1285,8;;65,9;47,5;25,6
2021;13671,9;10238,1;3035,7;398,1;40356,0;25588,7;13669,1;1098,2;;46,2;41,3;24,1
2020;7863,4;5895,9;1692,4;275,1;21441,0;13312,0;7318,6;810,4;;37,4;35,5;23,3
2019;24643,7;20752,4;3387,5;503,8;76665,8;58235,8;17169,1;1260,9;;69,1;44,5;23,0
2018;23778,7;20045,3;3248,2;485,2;74788,1;56745,3;16778,0;1264,8;;67,8;43,4;23,5
2017;23473,2;19772,0;3260,6;440,6;75311,0;57220,5;16888,4;1202,1;;68,8;43,9;22,3
2016;22492,4;19094,4;3003,8;394,2;72427,5;55550,6;15766,2;1110,7;;67,1;42,7;21,5
2015;20821,8;17686,4;2750,0;385,4;68298,4;51982,1;15235,7;1080,6;;63,4;42,4;21,3
2014;19700,9;16754,3;2613,8;332,8;65557,0;50018,6;14600,8;937,6;;61,1;41,0;19,9
2013;18974,6;16207,7;2498,4;268,5;64536,1;49295,5;14494,2;746,4;;60,5;38,7;18,3
2012;18863,8;16236,9;2336,0;290,9;63516,0;48376,5;14279,4;860,1;;60,0;39,1;18,9
2011;19240,6;16506,3;2422,4;311,9;63316,4;48173,7;14214,8;928,0;;60,4;39,8;19,8
2010;18468,8;15727,7;2442,8;298,3;59661,3;45336,1;13424,6;900,6;;57,5;38,2;20,7
2009;16815,2;14031,3;2453,1;330,8;55085,9;40742,2;13322,5;1021,2;;56,0;40,1;24,0
2008;17015,4;14437,7;2577,7;336,7;57026,9;42150,2;13859,4;1017,3;;60,0;41,1;26,3
2007;17409,4;14425,2;2668,8;315,4;57338,4;42283,7;14093,8;960,9;;63,6;41,9;26,1
2006;17161,7;14252,9;2638,4;270,4;57094,5;42076,0;14169,6;848,9;;63,0;42,2;24,7
2005;14908,2;12146,1;2533,8;228,3;54324,4;40124,9;13482,1;717,4;;61,2;40,4;24,4
2004;14498,6;11558,7;2732,9;206,9;52165,2;38115,9;13373,3;676,1;;59,5;40,7;25,1
2003;13891,9;10775,0;2940,3;176,6;51339,1;36925,0;13885,2;528,9;;59,9;39,3;24,8

