jsonstat,.,|
label,Població. Per sexe i edat any a any. Catalunya
source,Idescat. Estimacions de població.
updated,2024-11-04
dimension,SEMESTER,semestre,3,2023S2,S2/2023,2024S1,S1/2024,2024S2,S2/2024,time
dimension,CAT,Catalunya,1,TOTAL,Catalunya,geo
dimension,AGE,edat,102,Y000,0 anys,Y001,1 any,Y002,2 anys,Y003,3 anys,Y004,4 anys,Y005,5 anys,Y006,6 anys,Y007,7 anys,Y008,8 anys,Y009,9 anys,Y010,10 anys,Y011,11 anys,Y012,12 anys,Y013,13 anys,Y014,14 anys,Y015,15 anys,Y016,16 anys,Y017,17 anys,Y018,18 anys,Y019,19 anys,Y020,20 anys,Y021,21 anys,Y022,22 anys,Y023,23 anys,Y024,24 anys,Y025,25 anys,Y026,26 anys,Y027,27 anys,Y028,28 anys,Y029,29 anys,Y030,30 anys,Y031,31 anys,Y032,32 anys,Y033,33 anys,Y034,34 anys,Y035,35 anys,Y036,36 anys,Y037,37 anys,Y038,38 anys,Y039,39 anys,Y040,40 anys,Y041,41 anys,Y042,42 anys,Y043,43 anys,Y044,44 anys,Y045,45 anys,Y046,46 anys,Y047,47 anys,Y048,48 anys,Y049,49 anys,Y050,50 anys,Y051,51 anys,Y052,52 anys,Y053,53 anys,Y054,54 anys,Y055,55 anys,Y056,56 anys,Y057,57 anys,Y058,58 anys,Y059,59 anys,Y060,60 anys,Y061,61 anys,Y062,62 anys,Y063,63 anys,Y064,64 anys,Y065,65 anys,Y066,66 anys,Y067,67 anys,Y068,68 anys,Y069,69 anys,Y070,70 anys,Y071,71 anys,Y072,72 anys,Y073,73 anys,Y074,74 anys,Y075,75 anys,Y076,76 anys,Y077,77 anys,Y078,78 anys,Y079,79 anys,Y080,80 anys,Y081,81 anys,Y082,82 anys,Y083,83 anys,Y084,84 anys,Y085,85 anys,Y086,86 anys,Y087,87 anys,Y088,88 anys,Y089,89 anys,Y090,90 anys,Y091,91 anys,Y092,92 anys,Y093,93 anys,Y094,94 anys,Y095,95 anys,Y096,96 anys,Y097,97 anys,Y098,98 anys,Y099,99 anys,Y_GE100,100 anys o més,TOTAL,total
dimension,SEX,sexe,3,M,homes,F,dones,TOTAL,total
dimension,CONCEPT,concepte,1,POP,població,metric,0
data
SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2023S2,TOTAL,Y000,M,POP,p,28514
2023S2,TOTAL,Y000,F,POP,p,27026
2023S2,TOTAL,Y000,TOTAL,POP,p,55540
2023S2,TOTAL,Y001,M,POP,p,30559
2023S2,TOTAL,Y001,F,POP,p,28646
2023S2,TOTAL,Y001,TOTAL,POP,p,59205
2023S2,TOTAL,Y002,M,POP,p,31136
2023S2,TOTAL,Y002,F,POP,p,29625
2023S2,TOTAL,Y002,TOTAL,POP,p,60761
2023S2,TOTAL,Y003,M,POP,p,32218
2023S2,TOTAL,Y003,F,POP,p,30820
2023S2,TOTAL,Y003,TOTAL,POP,p,63038
2023S2,TOTAL,Y004,M,POP,p,34022
2023S2,TOTAL,Y004,F,POP,p,32482
2023S2,TOTAL,Y004,TOTAL,POP,p,66504
2023S2,TOTAL,Y005,M,POP,p,35821
2023S2,TOTAL,Y005,F,POP,p,34014
2023S2,TOTAL,Y005,TOTAL,POP,p,69835
2023S2,TOTAL,Y006,M,POP,p,37818
2023S2,TOTAL,Y006,F,POP,p,35769
2023S2,TOTAL,Y006,TOTAL,POP,p,73587
2023S2,TOTAL,Y007,M,POP,p,39287
2023S2,TOTAL,Y007,F,POP,p,37077
2023S2,TOTAL,Y007,TOTAL,POP,p,76364
2023S2,TOTAL,Y008,M,POP,p,40435
2023S2,TOTAL,Y008,F,POP,p,37736
2023S2,TOTAL,Y008,TOTAL,POP,p,78171
2023S2,TOTAL,Y009,M,POP,p,40584
2023S2,TOTAL,Y009,F,POP,p,37950
2023S2,TOTAL,Y009,TOTAL,POP,p,78534
2023S2,TOTAL,Y010,M,POP,p,41604
2023S2,TOTAL,Y010,F,POP,p,39043
2023S2,TOTAL,Y010,TOTAL,POP,p,80647
2023S2,TOTAL,Y011,M,POP,p,43382
2023S2,TOTAL,Y011,F,POP,p,40768
2023S2,TOTAL,Y011,TOTAL,POP,p,84150
2023S2,TOTAL,Y012,M,POP,p,44629
2023S2,TOTAL,Y012,F,POP,p,41840
2023S2,TOTAL,Y012,TOTAL,POP,p,86469
2023S2,TOTAL,Y013,M,POP,p,45641
2023S2,TOTAL,Y013,F,POP,p,42338
2023S2,TOTAL,Y013,TOTAL,POP,p,87979
2023S2,TOTAL,Y014,M,POP,p,46592
2023S2,TOTAL,Y014,F,POP,p,43428
2023S2,TOTAL,Y014,TOTAL,POP,p,90020
2023S2,TOTAL,Y015,M,POP,p,46455
2023S2,TOTAL,Y015,F,POP,p,43469
2023S2,TOTAL,Y015,TOTAL,POP,p,89924
2023S2,TOTAL,Y016,M,POP,p,45837
2023S2,TOTAL,Y016,F,POP,p,42602
2023S2,TOTAL,Y016,TOTAL,POP,p,88439
2023S2,TOTAL,Y017,M,POP,p,46226
2023S2,TOTAL,Y017,F,POP,p,42417
2023S2,TOTAL,Y017,TOTAL,POP,p,88643
2023S2,TOTAL,Y018,M,POP,p,46370
2023S2,TOTAL,Y018,F,POP,p,42482
2023S2,TOTAL,Y018,TOTAL,POP,p,88852
2023S2,TOTAL,Y019,M,POP,p,46265
2023S2,TOTAL,Y019,F,POP,p,42533
2023S2,TOTAL,Y019,TOTAL,POP,p,88798
2023S2,TOTAL,Y020,M,POP,p,45747
2023S2,TOTAL,Y020,F,POP,p,41691
2023S2,TOTAL,Y020,TOTAL,POP,p,87438
2023S2,TOTAL,Y021,M,POP,p,45307
2023S2,TOTAL,Y021,F,POP,p,41284
2023S2,TOTAL,Y021,TOTAL,POP,p,86591
2023S2,TOTAL,Y022,M,POP,p,45648
2023S2,TOTAL,Y022,F,POP,p,42181
2023S2,TOTAL,Y022,TOTAL,POP,p,87829
2023S2,TOTAL,Y023,M,POP,p,45774
2023S2,TOTAL,Y023,F,POP,p,42841
