jsonstat,.,|
label,Població. Per sexe i edat any a any. Catalunya
source,Idescat. Estimacions de població.
updated,2017-03-27
dimension,SEMESTER,semestre,51,1986S2,S2/1986,1987S1,S1/1987,1987S2,S2/1987,1988S1,S1/1988,1988S2,S2/1988,1989S1,S1/1989,1989S2,S2/1989,1990S1,S1/1990,1990S2,S2/1990,1991S1,S1/1991,1991S2,S2/1991,1992S1,S1/1992,1992S2,S2/1992,1993S1,S1/1993,1993S2,S2/1993,1994S1,S1/1994,1994S2,S2/1994,1995S1,S1/1995,1995S2,S2/1995,1996S1,S1/1996,1996S2,S2/1996,1997S1,S1/1997,1997S2,S2/1997,1998S1,S1/1998,1998S2,S2/1998,1999S1,S1/1999,1999S2,S2/1999,2000S1,S1/2000,2000S2,S2/2000,2001S1,S1/2001,2001S2,S2/2001,2002S1,S1/2002,2002S2,S2/2002,2003S1,S1/2003,2003S2,S2/2003,2004S1,S1/2004,2004S2,S2/2004,2005S1,S1/2005,2005S2,S2/2005,2006S1,S1/2006,2006S2,S2/2006,2007S1,S1/2007,2007S2,S2/2007,2008S1,S1/2008,2008S2,S2/2008,2009S1,S1/2009,2009S2,S2/2009,2010S1,S1/2010,2010S2,S2/2010,2011S1,S1/2011,2011S2,S2/2011,time
dimension,CAT,Catalunya,1,TOTAL,Catalunya,geo
dimension,AGE,edat,101,Y000,0 anys,Y001,1 any,Y002,2 anys,Y003,3 anys,Y004,4 anys,Y005,5 anys,Y006,6 anys,Y007,7 anys,Y008,8 anys,Y009,9 anys,Y010,10 anys,Y011,11 anys,Y012,12 anys,Y013,13 anys,Y014,14 anys,Y015,15 anys,Y016,16 anys,Y017,17 anys,Y018,18 anys,Y019,19 anys,Y020,20 anys,Y021,21 anys,Y022,22 anys,Y023,23 anys,Y024,24 anys,Y025,25 anys,Y026,26 anys,Y027,27 anys,Y028,28 anys,Y029,29 anys,Y030,30 anys,Y031,31 anys,Y032,32 anys,Y033,33 anys,Y034,34 anys,Y035,35 anys,Y036,36 anys,Y037,37 anys,Y038,38 anys,Y039,39 anys,Y040,40 anys,Y041,41 anys,Y042,42 anys,Y043,43 anys,Y044,44 anys,Y045,45 anys,Y046,46 anys,Y047,47 anys,Y048,48 anys,Y049,49 anys,Y050,50 anys,Y051,51 anys,Y052,52 anys,Y053,53 anys,Y054,54 anys,Y055,55 anys,Y056,56 anys,Y057,57 anys,Y058,58 anys,Y059,59 anys,Y060,60 anys,Y061,61 anys,Y062,62 anys,Y063,63 anys,Y064,64 anys,Y065,65 anys,Y066,66 anys,Y067,67 anys,Y068,68 anys,Y069,69 anys,Y070,70 anys,Y071,71 anys,Y072,72 anys,Y073,73 anys,Y074,74 anys,Y075,75 anys,Y076,76 anys,Y077,77 anys,Y078,78 anys,Y079,79 anys,Y080,80 anys,Y081,81 anys,Y082,82 anys,Y083,83 anys,Y084,84 anys,Y085,85 anys,Y086,86 anys,Y087,87 anys,Y088,88 anys,Y089,89 anys,Y090,90 anys,Y091,91 anys,Y092,92 anys,Y093,93 anys,Y094,94 anys,Y095,95 anys,Y096,96 anys,Y097,97 anys,Y098,98 anys,Y_GE099,99 anys o més,TOTAL,total
dimension,SEX,sexe,3,M,homes,F,dones,TOTAL,total
dimension,CONCEPT,concepte,1,POP,població,metric,0
data
SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1986S2,TOTAL,Y000,M,POP,,31093
1986S2,TOTAL,Y000,F,POP,,29386
1986S2,TOTAL,Y000,TOTAL,POP,,60479
1986S2,TOTAL,Y001,M,POP,,31898
1986S2,TOTAL,Y001,F,POP,,29981
1986S2,TOTAL,Y001,TOTAL,POP,,61879
1986S2,TOTAL,Y002,M,POP,,32833
1986S2,TOTAL,Y002,F,POP,,31229
1986S2,TOTAL,Y002,TOTAL,POP,,64062
1986S2,TOTAL,Y003,M,POP,,35187
1986S2,TOTAL,Y003,F,POP,,33614
1986S2,TOTAL,Y003,TOTAL,POP,,68801
1986S2,TOTAL,Y004,M,POP,,38096
1986S2,TOTAL,Y004,F,POP,,36020
1986S2,TOTAL,Y004,TOTAL,POP,,74116
1986S2,TOTAL,Y005,M,POP,,40720
1986S2,TOTAL,Y005,F,POP,,38541
1986S2,TOTAL,Y005,TOTAL,POP,,79261
1986S2,TOTAL,Y006,M,POP,,43723
1986S2,TOTAL,Y006,F,POP,,41195
1986S2,TOTAL,Y006,TOTAL,POP,,84918
1986S2,TOTAL,Y007,M,POP,,46746
1986S2,TOTAL,Y007,F,POP,,43907
1986S2,TOTAL,Y007,TOTAL,POP,,90653
1986S2,TOTAL,Y008,M,POP,,49022
1986S2,TOTAL,Y008,F,POP,,46437
1986S2,TOTAL,Y008,TOTAL,POP,,95459
1986S2,TOTAL,Y009,M,POP,,50920
1986S2,TOTAL,Y009,F,POP,,48167
1986S2,TOTAL,Y009,TOTAL,POP,,99087
1986S2,TOTAL,Y010,M,POP,,52962
1986S2,TOTAL,Y010,F,POP,,49674
1986S2,TOTAL,Y010,TOTAL,POP,,102636
1986S2,TOTAL,Y011,M,POP,,53563
1986S2,TOTAL,Y011,F,POP,,50223
1986S2,TOTAL,Y011,TOTAL,POP,,103786
1986S2,TOTAL,Y012,M,POP,,52547
1986S2,TOTAL,Y012,F,POP,,49516
1986S2,TOTAL,Y012,TOTAL,POP,,102063
1986S2,TOTAL,Y013,M,POP,,51863
1986S2,TOTAL,Y013,F,POP,,49052
1986S2,TOTAL,Y013,TOTAL,POP,,100915
1986S2,TOTAL,Y014,M,POP,,51270
1986S2,TOTAL,Y014,F,POP,,48227
1986S2,TOTAL,Y014,TOTAL,POP,,99497
1986S2,TOTAL,Y015,M,POP,,50268
1986S2,TOTAL,Y015,F,POP,,47487
1986S2,TOTAL,Y015,TOTAL,POP,,97755
1986S2,TOTAL,Y016,M,POP,,49020
1986S2,TOTAL,Y016,F,POP,,46822
1986S2,TOTAL,Y016,TOTAL,POP,,95842
1986S2,TOTAL,Y017,M,POP,,48821
1986S2,TOTAL,Y017,F,POP,,46682
1986S2,TOTAL,Y017,TOTAL,POP,,95503
1986S2,TOTAL,Y018,M,POP,,49780
1986S2,TOTAL,Y018,F,POP,,47580
1986S2,TOTAL,Y018,TOTAL,POP,,97360
1986S2,TOTAL,Y019,M,POP,,49930
1986S2,TOTAL,Y019,F,POP,,47626
1986S2,TOTAL,Y019,TOTAL,POP,,97556
1986S2,TOTAL,Y020,M,POP,,49351
1986S2,TOTAL,Y020,F,POP,,47176
1986S2,TOTAL,Y020,TOTAL,POP,,96527
1986S2,TOTAL,Y021,M,POP,,49508
1986S2,TOTAL,Y021,F,POP,,47428
1986S2,TOTAL,Y021,TOTAL,POP,,96936
1986S2,TOTAL,Y022,M,POP,,48378
1986S2,TOTAL,Y022,F,POP,,46776
1986S2,TOTAL,Y022,TOTAL,POP,,95154
1986S2,TOTAL,Y023,M,POP,,46411
1986S2,TOTAL,Y023,F,POP,,45351
1986S2,TOTAL,Y023,TOTAL,POP,,91762
1986S2,TOTAL,Y024,M,POP,,45502
1986S2,TOTAL,Y024,F,POP,,44685
1986S2,TOTAL,Y024,TOTAL,POP,,90187
1986S2,TOTAL,Y025,M,POP,,45126
1986S2,TOTAL,Y025,F,POP,,44822
1986S2,TOTAL,Y025,TOTAL,POP,,89948
1986S2,TOTAL,Y026,M,POP,,45026
1986S2,TOTAL,Y026,F,POP,,45121
1986S2,TOTAL,Y026,TOTAL,POP,,90147
1986S2,TOTAL,Y027,M,POP,,44792
1986S2,TOTAL,Y027,F,POP,,45126
1986S2,TOTAL,Y027,TOTAL,POP,,89918
1986S2,TOTAL,Y028,M,POP,,44561
1986S2,TOTAL,Y028,F,POP,,44927
1986S2,TOTAL,Y028,TOTAL,POP,,89488
1986S2,TOTAL,Y029,M,POP,,43134
1986S2,TOTAL,Y029,F,POP,,43506
1986S2,TOTAL,Y029,TOTAL,POP,,86640
1986S2,TOTAL,Y030,M,POP,,41956
1986S2,TOTAL,Y030,F,POP,,42083
1986S2,TOTAL,Y030,TOTAL,POP,,84039
1986S2,TOTAL,Y031,M,POP,,41292
1986S2,TOTAL,Y031,F,POP,,41543
1986S2,TOTAL,Y031,TOTAL,POP,,82835
1986S2,TOTAL,Y032,M,POP,,41032
1986S2,TOTAL,Y032,F,POP,,41364
1986S2,TOTAL,Y032,TOTAL,POP,,82396
1986S2,TOTAL,Y033,M,POP,,41653
1986S2,TOTAL,Y033,F,POP,,41687
1986S2,TOTAL,Y033,TOTAL,POP,,83340
1986S2,TOTAL,Y034,M,POP,,40762
1986S2,TOTAL,Y034,F,POP,,40892
1986S2,TOTAL,Y034,TOTAL,POP,,81654
1986S2,TOTAL,Y035,M,POP,,39178
1986S2,TOTAL,Y035,F,POP,,39494
1986S2,TOTAL,Y035,TOTAL,POP,,78672
1986S2,TOTAL,Y036,M,POP,,40044
1986S2,TOTAL,Y036,F,POP,,40116
1986S2,TOTAL,Y036,TOTAL,POP,,80160
1986S2,TOTAL,Y037,M,POP,,42676
1986S2,TOTAL,Y037,F,POP,,42928
1986S2,TOTAL,Y037,TOTAL,POP,,85604
1986S2,TOTAL,Y038,M,POP,,42437
1986S2,TOTAL,Y038,F,POP,,42611
1986S2,TOTAL,Y038,TOTAL,POP,,85048
1986S2,TOTAL,Y039,M,POP,,39742
1986S2,TOTAL,Y039,F,POP,,39597
1986S2,TOTAL,Y039,TOTAL,POP,,79339
1986S2,TOTAL,Y040,M,POP,,40169
1986S2,TOTAL,Y040,F,POP,,39973
1986S2,TOTAL,Y040,TOTAL,POP,,80142
1986S2,TOTAL,Y041,M,POP,,40214
1986S2,TOTAL,Y041,F,POP,,40242
1986S2,TOTAL,Y041,TOTAL,POP,,80456
1986S2,TOTAL,Y042,M,POP,,38741
1986S2,TOTAL,Y042,F,POP,,38721
1986S2,TOTAL,Y042,TOTAL,POP,,77462
1986S2,TOTAL,Y043,M,POP,,35850
1986S2,TOTAL,Y043,F,POP,,35491
1986S2,TOTAL,Y043,TOTAL,POP,,71341
1986S2,TOTAL,Y044,M,POP,,32341
1986S2,TOTAL,Y044,F,POP,,31837
1986S2,TOTAL,Y044,TOTAL,POP,,64178
1986S2,TOTAL,Y045,M,POP,,36046
1986S2,TOTAL,Y045,F,POP,,35100
1986S2,TOTAL,Y045,TOTAL,POP,,71146
1986S2,TOTAL,Y046,M,POP,,31781
1986S2,TOTAL,Y046,F,POP,,31063
1986S2,TOTAL,Y046,TOTAL,POP,,62844
1986S2,TOTAL,Y047,M,POP,,25811
1986S2,TOTAL,Y047,F,POP,,25562
1986S2,TOTAL,Y047,TOTAL,POP,,51373
1986S2,TOTAL,Y048,M,POP,,31745
1986S2,TOTAL,Y048,F,POP,,31445
1986S2,TOTAL,Y048,TOTAL,POP,,63190
1986S2,TOTAL,Y049,M,POP,,36178
1986S2,TOTAL,Y049,F,POP,,36719
1986S2,TOTAL,Y049,TOTAL,POP,,72897
1986S2,TOTAL,Y050,M,POP,,36617
1986S2,TOTAL,Y050,F,POP,,37733
1986S2,TOTAL,Y050,TOTAL,POP,,74350
1986S2,TOTAL,Y051,M,POP,,35766
1986S2,TOTAL,Y051,F,POP,,36403
1986S2,TOTAL,Y051,TOTAL,POP,,72169
1986S2,TOTAL,Y052,M,POP,,36380
1986S2,TOTAL,Y052,F,POP,,37259
1986S2,TOTAL,Y052,TOTAL,POP,,73639
1986S2,TOTAL,Y053,M,POP,,36731
1986S2,TOTAL,Y053,F,POP,,38243
1986S2,TOTAL,Y053,TOTAL,POP,,74974
1986S2,TOTAL,Y054,M,POP,,35986
1986S2,TOTAL,Y054,F,POP,,37622
1986S2,TOTAL,Y054,TOTAL,POP,,73608
1986S2,TOTAL,Y055,M,POP,,35606
1986S2,TOTAL,Y055,F,POP,,37654
1986S2,TOTAL,Y055,TOTAL,POP,,73260
1986S2,TOTAL,Y056,M,POP,,34746
1986S2,TOTAL,Y056,F,POP,,37079
1986S2,TOTAL,Y056,TOTAL,POP,,71825
1986S2,TOTAL,Y057,M,POP,,33705
1986S2,TOTAL,Y057,F,POP,,36015
1986S2,TOTAL,Y057,TOTAL,POP,,69720
1986S2,TOTAL,Y058,M,POP,,32909
1986S2,TOTAL,Y058,F,POP,,35462
1986S2,TOTAL,Y058,TOTAL,POP,,68371
1986S2,TOTAL,Y059,M,POP,,32510
1986S2,TOTAL,Y059,F,POP,,35186
1986S2,TOTAL,Y059,TOTAL,POP,,67696
1986S2,TOTAL,Y060,M,POP,,32181
1986S2,TOTAL,Y060,F,POP,,35050
1986S2,TOTAL,Y060,TOTAL,POP,,67231
1986S2,TOTAL,Y061,M,POP,,31259
1986S2,TOTAL,Y061,F,POP,,34323
1986S2,TOTAL,Y061,TOTAL,POP,,65582
1986S2,TOTAL,Y062,M,POP,,30318
1986S2,TOTAL,Y062,F,POP,,33221
1986S2,TOTAL,Y062,TOTAL,POP,,63539
1986S2,TOTAL,Y063,M,POP,,29236
1986S2,TOTAL,Y063,F,POP,,32635
1986S2,TOTAL,Y063,TOTAL,POP,,61871
1986S2,TOTAL,Y064,M,POP,,28256
1986S2,TOTAL,Y064,F,POP,,31785
1986S2,TOTAL,Y064,TOTAL,POP,,60041
1986S2,TOTAL,Y065,M,POP,,25721
1986S2,TOTAL,Y065,F,POP,,30608
1986S2,TOTAL,Y065,TOTAL,POP,,56329
1986S2,TOTAL,Y066,M,POP,,22204
1986S2,TOTAL,Y066,F,POP,,28373
1986S2,TOTAL,Y066,TOTAL,POP,,50577
1986S2,TOTAL,Y067,M,POP,,20357
1986S2,TOTAL,Y067,F,POP,,26471
1986S2,TOTAL,Y067,TOTAL,POP,,46828
1986S2,TOTAL,Y068,M,POP,,19336
1986S2,TOTAL,Y068,F,POP,,25611
1986S2,TOTAL,Y068,TOTAL,POP,,44947
1986S2,TOTAL,Y069,M,POP,,18319
1986S2,TOTAL,Y069,F,POP,,24403
1986S2,TOTAL,Y069,TOTAL,POP,,42722
1986S2,TOTAL,Y070,M,POP,,17775
1986S2,TOTAL,Y070,F,POP,,24005
1986S2,TOTAL,Y070,TOTAL,POP,,41780
1986S2,TOTAL,Y071,M,POP,,17443
1986S2,TOTAL,Y071,F,POP,,24178
1986S2,TOTAL,Y071,TOTAL,POP,,41621
1986S2,TOTAL,Y072,M,POP,,16831
1986S2,TOTAL,Y072,F,POP,,23753
1986S2,TOTAL,Y072,TOTAL,POP,,40584
1986S2,TOTAL,Y073,M,POP,,16071
1986S2,TOTAL,Y073,F,POP,,23011
1986S2,TOTAL,Y073,TOTAL,POP,,39082
1986S2,TOTAL,Y074,M,POP,,15074
1986S2,TOTAL,Y074,F,POP,,22076
1986S2,TOTAL,Y074,TOTAL,POP,,37150
1986S2,TOTAL,Y075,M,POP,,14071
1986S2,TOTAL,Y075,F,POP,,21430
1986S2,TOTAL,Y075,TOTAL,POP,,35501
1986S2,TOTAL,Y076,M,POP,,13123
1986S2,TOTAL,Y076,F,POP,,20633
1986S2,TOTAL,Y076,TOTAL,POP,,33756
1986S2,TOTAL,Y077,M,POP,,12018
1986S2,TOTAL,Y077,F,POP,,18955
1986S2,TOTAL,Y077,TOTAL,POP,,30973
1986S2,TOTAL,Y078,M,POP,,10872
1986S2,TOTAL,Y078,F,POP,,17520
1986S2,TOTAL,Y078,TOTAL,POP,,28392
1986S2,TOTAL,Y079,M,POP,,9586
