jsonstat,.,|
label,Població. Per sexe i edat any a any. Catalunya
source,
updated,2017-03-27
dimension,SEMESTER,semestre,11,1981S1,S1/1981,1981S2,S2/1981,1982S1,S1/1982,1982S2,S2/1982,1983S1,S1/1983,1983S2,S2/1983,1984S1,S1/1984,1984S2,S2/1984,1985S1,S1/1985,1985S2,S2/1985,1986S1,S1/1986,time
dimension,CAT,Catalunya,1,TOTAL,Catalunya,geo
dimension,AGE,edat,97,Y000,0 anys,Y001,1 any,Y002,2 anys,Y003,3 anys,Y004,4 anys,Y005,5 anys,Y006,6 anys,Y007,7 anys,Y008,8 anys,Y009,9 anys,Y010,10 anys,Y011,11 anys,Y012,12 anys,Y013,13 anys,Y014,14 anys,Y015,15 anys,Y016,16 anys,Y017,17 anys,Y018,18 anys,Y019,19 anys,Y020,20 anys,Y021,21 anys,Y022,22 anys,Y023,23 anys,Y024,24 anys,Y025,25 anys,Y026,26 anys,Y027,27 anys,Y028,28 anys,Y029,29 anys,Y030,30 anys,Y031,31 anys,Y032,32 anys,Y033,33 anys,Y034,34 anys,Y035,35 anys,Y036,36 anys,Y037,37 anys,Y038,38 anys,Y039,39 anys,Y040,40 anys,Y041,41 anys,Y042,42 anys,Y043,43 anys,Y044,44 anys,Y045,45 anys,Y046,46 anys,Y047,47 anys,Y048,48 anys,Y049,49 anys,Y050,50 anys,Y051,51 anys,Y052,52 anys,Y053,53 anys,Y054,54 anys,Y055,55 anys,Y056,56 anys,Y057,57 anys,Y058,58 anys,Y059,59 anys,Y060,60 anys,Y061,61 anys,Y062,62 anys,Y063,63 anys,Y064,64 anys,Y065,65 anys,Y066,66 anys,Y067,67 anys,Y068,68 anys,Y069,69 anys,Y070,70 anys,Y071,71 anys,Y072,72 anys,Y073,73 anys,Y074,74 anys,Y075,75 anys,Y076,76 anys,Y077,77 anys,Y078,78 anys,Y079,79 anys,Y080,80 anys,Y081,81 anys,Y082,82 anys,Y083,83 anys,Y084,84 anys,Y085,85 anys,Y086,86 anys,Y087,87 anys,Y088,88 anys,Y089,89 anys,Y090,90 anys,Y091,91 anys,Y092,92 anys,Y093,93 anys,Y094,94 anys,Y_GE095,95 anys o més,TOTAL,total
dimension,SEX,sexe,3,M,homes,F,dones,TOTAL,total
dimension,CONCEPT,concepte,1,POP,població,metric,0
data
SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1981S1,TOTAL,Y000,M,POP,,41941
1981S1,TOTAL,Y000,F,POP,,39464
1981S1,TOTAL,Y000,TOTAL,POP,,81405
1981S1,TOTAL,Y001,M,POP,,46497
1981S1,TOTAL,Y001,F,POP,,44105
