Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
18150,21,0,36,ABP Alt Camp - C. de Barberà,abril,14,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,423,16,52,ABP Alt Camp - C. de Barberà,abril,55,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,869,52,52,ABP Alt Camp - C. de Barberà,abril,105,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,152,13,52,ABP Alt Camp - C. de Barberà,abril,17,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24203,52,23,48,ABP Alt Camp - C. de Barberà,abril,24,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24202,54,10,48,ABP Alt Camp - C. de Barberà,abril,29,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24206,21,0,96,ABP Alt Camp - C. de Barberà,agost,18,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,558,13,104,ABP Alt Camp - C. de Barberà,agost,67,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,752,58,104,ABP Alt Camp - C. de Barberà,agost,109,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,184,5,104,ABP Alt Camp - C. de Barberà,agost,10,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,70,20,104,ABP Alt Camp - C. de Barberà,agost,27,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,67,5,104,ABP Alt Camp - C. de Barberà,agost,33,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
22187,21,0,132,ABP Alt Camp - C. de Barberà,desembre,16,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,446,6,156,ABP Alt Camp - C. de Barberà,desembre,52,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,859,28,156,ABP Alt Camp - C. de Barberà,desembre,70,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,157,6,156,ABP Alt Camp - C. de Barberà,desembre,9,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,62,22,156,ABP Alt Camp - C. de Barberà,desembre,30,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,62,10,156,ABP Alt Camp - C. de Barberà,desembre,24,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
14128,17,1,14,ABP Alt Camp - C. de Barberà,febrer,11,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,449,15,28,ABP Alt Camp - C. de Barberà,febrer,77,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,984,88,28,ABP Alt Camp - C. de Barberà,febrer,134,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,174,5,28,ABP Alt Camp - C. de Barberà,febrer,15,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
