id_infant_jove,data_entrada_sistema,any_entrada_sistema,mes_entrada_sistema,Servei_territorial_gestio_cas,data_naixement_infant,sexe_infant,Origen_infant
78652,01/01/2015,2015,01Gener,Barcelona ciutat,13/06/1997,Nois,Marroc
78686,05/01/2015,2015,01Gener,Barcelona ciutat,01/02/1997,Nois,Magreb (excloent Marroc)
78687,06/01/2015,2015,01Gener,Barcelona ciutat,03/09/1999,Nois,Marroc
66384,06/01/2015,2015,01Gener,Barcelona ciutat,31/01/1999,Nois,Marroc
78729,07/01/2015,2015,01Gener,Barcelona ciutat,05/12/1999,Nois,Magreb (excloent Marroc)
78689,07/01/2015,2015,01Gener,Barcelona ciutat,31/12/1998,Nois,Marroc
78764,09/01/2015,2015,01Gener,Barcelona ciutat,03/03/1999,Nois,Marroc
78901,14/01/2015,2015,01Gener,Barcelona comarques,01/01/1998,Nois,Marroc
78900,14/01/2015,2015,01Gener,Barcelona ciutat,31/12/1999,Nois,Marroc
78912,15/01/2015,2015,01Gener,Barcelona ciutat,31/12/1999,Nois,Magreb (excloent Marroc)
78902,15/01/2015,2015,01Gener,Barcelona comarques,22/07/1999,Nois,Magreb (excloent Marroc)
78945,18/01/2015,2015,01Gener,Barcelona ciutat,26/03/1997,Nois,Altra
78944,18/01/2015,2015,01Gener,Barcelona ciutat,18/01/1997,Nois,Marroc
78946,19/01/2015,2015,01Gener,Barcelona ciutat,05/08/1999,Nois,Marroc
78964,19/01/2015,2015,01Gener,Barcelona ciutat,20/12/1997,Nois,Marroc
78971,19/01/2015,2015,01Gener,Barcelona ciutat,15/04/1998,Nois,Marroc
79124,25/01/2015,2015,01Gener,Barcelona ciutat,20/09/1998,Nois,Marroc
79121,25/01/2015,2015,01Gener,Barcelona comarques,31/12/1998,Nois,Altra
79123,25/01/2015,2015,01Gener,Barcelona ciutat,10/05/1998,Noies,Països Subsharians
79144,26/01/2015,2015,01Gener,Barcelona comarques,19/01/1999,Nois,Marroc
79174,27/01/2015,2015,01Gener,Girona,13/01/2001,Nois,Marroc
79175,27/01/2015,2015,01Gener,Barcelona ciutat,01/05/2001,Nois,Marroc
74293,28/01/2015,2015,01Gener,Barcelona comarques,27/03/1998,Nois,Marroc
71274,28/01/2015,2015,01Gener,Barcelona ciutat,18/11/1998,Nois,Altra
79218,29/01/2015,2015,01Gener,Tarragona,10/02/1999,Nois,Marroc
78618,01/02/2015,2015,02Febrer,Barcelona comarques,31/12/1998,Nois,Altra
79253,01/02/2015,2015,02Febrer,Barcelona ciutat,31/12/1998,Nois,Altra
79255,02/02/2015,2015,02Febrer,Barcelona ciutat,31/12/1998,Nois,Altra
79270,02/02/2015,2015,02Febrer,Barcelona ciutat,28/02/2000,Nois,Marroc
79311,03/02/2015,2015,02Febrer,Barcelona ciutat,18/08/1998,Nois,Marroc
79312,04/02/2015,2015,02Febrer,Barcelona ciutat,27/09/1997,Nois,Altra
79408,09/02/2015,2015,02Febrer,Barcelona comarques,31/12/2000,Nois,Marroc
79469,10/02/2015,2015,02Febrer,Barcelona ciutat,31/12/1997,Nois,Altra
79535,11/02/2015,2015,02Febrer,Barcelona ciutat,16/07/1997,Nois,Marroc
75973,13/02/2015,2015,02Febrer,Girona,30/03/1999,Nois,Marroc
79670,18/02/2015,2015,02Febrer,Barcelona ciutat,31/12/2000,Nois,Marroc
79761,20/02/2015,2015,02Febrer,Barcelona ciutat,15/01/1998,Nois,Marroc
79806,23/02/2015,2015,02Febrer,Barcelona ciutat,04/01/2002,Nois,Marroc
78307,23/02/2015,2015,02Febrer,Barcelona ciutat,07/03/2003,Nois,Marroc
79805,23/02/2015,2015,02Febrer,Barcelona ciutat,01/01/2000,Nois,Marroc
74083,24/02/2015,2015,02Febrer,Barcelona ciutat,22/11/2000,Nois,Marroc
76625,25/02/2015,2015,02Febrer,Barcelona comarques,31/12/1998,Nois,Països Subsharians
79878,25/02/2015,2015,02Febrer,Àrea Metropolitana BCN,30/11/1997,Noies,Altra
79883,26/02/2015,2015,02Febrer,Barcelona ciutat,08/01/1998,Nois,Marroc
79956,28/02/2015,2015,02Febrer,Barcelona ciutat,06/02/1998,Nois,Altra
79966,02/03/2015,2015,03Març,Barcelona ciutat,31/12/1998,Nois,Altra
79995,03/03/2015,2015,03Març,Barcelona ciutat,25/10/1998,Nois,Marroc
79967,03/03/2015,2015,03Març,Barcelona ciutat,23/02/1999,Nois,Marroc
80110,06/03/2015,2015,03Març,Barcelona ciutat,28/02/1998,Nois,Marroc
80111,07/03/2015,2015,03Març,Barcelona ciutat,31/12/1999,Nois,Països Subsharians
80280,10/03/2015,2015,03Març,Barcelona comarques,30/09/1998,Nois,No informada
80281,10/03/2015,2015,03Març,Barcelona ciutat,15/03/1999,Nois,Marroc
80405,14/03/2015,2015,03Març,Barcelona ciutat,15/03/1997,Nois,Magreb (excloent Marroc)
74872,17/03/2015,2015,03Març,Barcelona ciutat,27/09/1997,Nois,Marroc
80477,18/03/2015,2015,03Març,Barcelona comarques,21/08/1999,Nois,Marroc
80502,19/03/2015,2015,03Març,Barcelona comarques,31/12/1998,Nois,Marroc
80501,19/03/2015,2015,03Març,Barcelona ciutat,31/12/1999,Nois,Marroc
80526,20/03/2015,2015,03Març,Barcelona ciutat,25/07/1998,Nois,Marroc
80549,21/03/2015,2015,03Març,Barcelona ciutat,16/09/1998,Noies,Altra
80622,25/03/2015,2015,03Març,Barcelona comarques,31/12/1998,Nois,No informada
80649,27/03/2015,2015,03Març,Barcelona ciutat,20/04/1998,Nois,Marroc
80648,27/03/2015,2015,03Març,Tarragona,15/05/1997,Nois,Altra
80650,27/03/2015,2015,03Març,Barcelona ciutat,31/12/1999,Nois,Marroc
80651,27/03/2015,2015,03Març,Barcelona comarques,03/09/1999,Nois,Marroc
58899,29/03/2015,2015,03Març,Barcelona comarques,21/06/1997,Nois,Marroc
56530,31/03/2015,2015,03Març,Barcelona ciutat,21/02/1998,Nois,Altra
75949,04/04/2015,2015,04Abril,Barcelona ciutat,23/09/1997,Nois,Altra
80847,07/04/2015,2015,04Abril,Barcelona comarques,24/04/1999,Nois,Marroc
80967,10/04/2015,2015,04Abril,Barcelona ciutat,16/04/2000,Nois,Marroc
81017,14/04/2015,2015,04Abril,Barcelona ciutat,31/12/1998,Nois,Països Subsharians
81059,15/04/2015,2015,04Abril,Barcelona ciutat,31/12/1998,Nois,Marroc
81133,18/04/2015,2015,04Abril,Barcelona ciutat,03/11/1999,Nois,Marroc
81135,18/04/2015,2015,04Abril,Barcelona ciutat,28/08/2009,Nois,Països Subsharians
81134,18/04/2015,2015,04Abril,Barcelona ciutat,20/01/1998,Nois,Altra
81157,21/04/2015,2015,04Abril,Barcelona ciutat,31/12/2000,Nois,Marroc
81184,21/04/2015,2015,04Abril,Barcelona ciutat,31/12/1998,Nois,Magreb (excloent Marroc)
81256,23/04/2015,2015,04Abril,Barcelona ciutat,31/12/1997,Nois,Països Subsharians
81217,23/04/2015,2015,04Abril,Barcelona ciutat,21/04/1998,Nois,Marroc
81224,23/04/2015,2015,04Abril,Barcelona ciutat,02/09/1998,Nois,Marroc
81255,23/04/2015,2015,04Abril,Barcelona ciutat,01/03/1997,Nois,No informada
81268,24/04/2015,2015,04Abril,Barcelona ciutat,11/12/1999,Nois,Marroc
81263,24/04/2015,2015,04Abril,Barcelona ciutat,02/04/2000,Nois,Marroc
81271,24/04/2015,2015,04Abril,Barcelona ciutat,04/12/1999,Nois,Marroc
81296,26/04/2015,2015,04Abril,Tarragona,31/12/1997,Noies,Països Subsharians
81199,27/04/2015,2015,04Abril,Àrea Metropolitana BCN,23/10/2000,Nois,Marroc
81310,28/04/2015,2015,04Abril,Barcelona ciutat,04/07/1999,Nois,Marroc
81311,28/04/2015,2015,04Abril,Barcelona ciutat,20/06/1998,Nois,Marroc
81422,02/05/2015,2015,05Maig,Tarragona,18/07/1997,Nois,Altra
81453,04/05/2015,2015,05Maig,Barcelona ciutat,14/10/1998,Nois,Marroc
81496,06/05/2015,2015,05Maig,Barcelona ciutat,26/03/1997,Nois,Marroc
81500,06/05/2015,2015,05Maig,Barcelona ciutat,26/09/1997,Nois,Països Subsharians
81535,06/05/2015,2015,05Maig,Barcelona comarques,11/09/1999,Nois,Marroc
81536,06/05/2015,2015,05Maig,Barcelona ciutat,31/12/1998,Nois,Marroc
81537,07/05/2015,2015,05Maig,Barcelona comarques,31/12/1998,Nois,Marroc
81562,07/05/2015,2015,05Maig,Tarragona,07/04/2005,Nois,Marroc
74070,08/05/2015,2015,05Maig,Barcelona ciutat,02/08/1998,Nois,Magreb (excloent Marroc)
81585,08/05/2015,2015,05Maig,Barcelona ciutat,31/12/1999,Noies,Països Subsharians
81595,10/05/2015,2015,05Maig,Barcelona ciutat,20/04/1998,Nois,Marroc
81659,12/05/2015,2015,05Maig,Barcelona comarques,31/12/1998,Nois,Països Subsharians
81662,12/05/2015,2015,05Maig,Barcelona ciutat,31/12/1999,Nois,Marroc
81620,12/05/2015,2015,05Maig,Barcelona ciutat,31/12/1998,Nois,Marroc
81782,18/05/2015,2015,05Maig,Barcelona ciutat,22/10/1997,Nois,Marroc
81846,19/05/2015,2015,05Maig,Barcelona ciutat,31/12/1998,Nois,Magreb (excloent Marroc)
81848,20/05/2015,2015,05Maig,Barcelona ciutat,16/08/1997,Noies,Altra
81922,21/05/2015,2015,05Maig,Barcelona ciutat,06/04/1995,Nois,Marroc
81918,21/05/2015,2015,05Maig,Barcelona ciutat,21/10/1998,Nois,Marroc
81948,22/05/2015,2015,05Maig,Barcelona ciutat,31/12/1999,Nois,Magreb (excloent Marroc)
81956,23/05/2015,2015,05Maig,Barcelona comarques,17/05/1998,Nois,Altra
81960,24/05/2015,2015,05Maig,Barcelona ciutat,31/12/1999,Nois,Magreb (excloent Marroc)
81959,24/05/2015,2015,05Maig,Barcelona ciutat,05/04/1999,Nois,Magreb (excloent Marroc)
81961,24/05/2015,2015,05Maig,Barcelona comarques,31/12/1998,Nois,Altra
81994,25/05/2015,2015,05Maig,Barcelona comarques,16/10/1997,Nois,Països Subsharians
75913,26/05/2015,2015,05Maig,Barcelona comarques,02/05/1998,Nois,Països Subsharians
82031,26/05/2015,2015,05Maig,Girona,17/11/1999,Nois,Marroc
82070,27/05/2015,2015,05Maig,Barcelona ciutat,31/12/2001,Nois,No informada
82071,28/05/2015,2015,05Maig,Barcelona ciutat,30/01/1998,Nois,Marroc
82129,30/05/2015,2015,05Maig,Tarragona,18/11/1998,Noies,Altra
82128,30/05/2015,2015,05Maig,Tarragona,12/06/1998,Noies,Altra
82131,31/05/2015,2015,05Maig,Àrea Metropolitana BCN,07/09/1997,Noies,Altra
82159,01/06/2015,2015,06Juny,Barcelona ciutat,31/12/1997,Nois,Magreb (excloent Marroc)
82155,01/06/2015,2015,06Juny,Barcelona ciutat,31/12/1998,Nois,Magreb (excloent Marroc)
82160,02/06/2015,2015,06Juny,Barcelona ciutat,26/09/1997,Nois,Marroc
82161,02/06/2015,2015,06Juny,Barcelona ciutat,31/12/1999,Noies,Marroc
82210,03/06/2015,2015,06Juny,Barcelona comarques,25/07/1998,Nois,Marroc
74647,03/06/2015,2015,06Juny,Barcelona ciutat,12/11/1999,Nois,Marroc
82270,04/06/2015,2015,06Juny,Barcelona ciutat,31/12/1998,Nois,Marroc
82318,07/06/2015,2015,06Juny,Barcelona ciutat,26/11/2000,Nois,Altra
82489,12/06/2015,2015,06Juny,Tarragona,12/12/1999,Noies,Països Subsharians
82508,14/06/2015,2015,06Juny,Barcelona ciutat,18/06/2000,Nois,Magreb (excloent Marroc)
76045,15/06/2015,2015,06Juny,Barcelona ciutat,20/07/1998,Nois,Marroc
81982,15/06/2015,2015,06Juny,Barcelona ciutat,20/04/1998,Nois,No informada
