Any,Codi país,País,Turistes,Estat
2021,ARG,Argentina,15.4,Dades provisionals
2021,BEL,Bèlgica,171.1,Dades provisionals
2021,BRA,Brasil,23.7,Dades provisionals
2021,CAN,Canadà,35.6,Dades provisionals
2021,CHE,Suïssa,154.7,Dades provisionals
2021,CHN,Xina,7.1,"Dades provisionals, Estimació amb alta variabilitat"
2021,DEU,Alemanya,495.7,Dades provisionals
2021,DNK+FIN+NOR+SWE,Països nòrdics,187.7,Dades provisionals
2021,FRA,França,1891.7,Dades provisionals
2021,GBR,Regne Unit,282.3,Dades provisionals
2021,IRL,Irlanda,88.9,Dades provisionals
2021,ITA,Itàlia,416.2,Dades provisionals
2021,JPN,Japó,12.3,Dades provisionals
2021,NLD,Països Baixos,356.4,Dades provisionals
2021,PRT,Portugal,72,Dades provisionals
2021,RUS,Rússia,55.4,Dades provisionals
2021,USA,EUA,231.6,Dades provisionals
2020,ARG,Argentina,38.4,
2020,BEL,Bèlgica,77.1,
2020,BRA,Brasil,56.5,
2020,CAN,Canadà,44.5,
2020,CHE,Suïssa,44.4,
2020,CHN,Xina,59,
2020,DEU,Alemanya,227.9,
2020,DNK+FIN+NOR+SWE,Països nòrdics,77.5,
2020,FRA,França,1315.9,
2020,GBR,Regne Unit,280.1,
2020,IRL,Irlanda,27.8,
2020,ITA,Itàlia,196.6,
2020,JPN,Japó,62.3,
2020,NLD,Països Baixos,142.5,
2020,PRT,Portugal,45.4,
2020,RUS,Rússia,82.4,
2020,USA,EUA,148.2,
2019,ARG,Argentina,209.9,
2019,BEL,Bèlgica,369.6,
2019,BRA,Brasil,245.1,
2019,CAN,Canadà,225,
2019,CHE,Suïssa,309.3,
2019,CHN,Xina,351.6,
2019,DEU,Alemanya,1431.9,
2019,DNK+FIN+NOR+SWE,Països nòrdics,573.8,
2019,FRA,França,4083,
2019,GBR,Regne Unit,2015.5,
2019,IRL,Irlanda,365,
2019,ITA,Itàlia,1202.8,
2019,JPN,Japó,366.3,
2019,NLD,Països Baixos,746.9,
2019,PRT,Portugal,188.9,
2019,RUS,Rússia,795.2,
2019,USA,EUA,1507,
2018,ARG,Argentina,259.4,
2018,BEL,Bèlgica,400.3,
2018,BRA,Brasil,197.5,
2018,CAN,Canadà,219,
2018,CHE,Suïssa,245.4,
2018,CHN,Xina,294.5,
2018,DEU,Alemanya,1413.2,
2018,DNK+FIN+NOR+SWE,Països nòrdics,720.2,
2018,FRA,França,4166,
2018,GBR,Regne Unit,2106.3,
2018,IRL,Irlanda,309.3,
2018,ITA,Itàlia,1183.7,
2018,JPN,Japó,294.9,
2018,NLD,Països Baixos,733.6,
2018,PRT,Portugal,187.4,
2018,RUS,Rússia,727.8,
2018,USA,EUA,1374.5,
2017,ARG,Argentina,280.6,
2017,BEL,Bèlgica,446.6,
2017,BRA,Brasil,176.9,
2017,CAN,Canadà,221.5,
2017,CHE,Suïssa,399.2,
2017,CHN,Xina,252,
2017,DEU,Alemanya,1568.9,
2017,DNK+FIN+NOR+SWE,Països nòrdics,785.2,
2017,FRA,França,4487.1,
2017,GBR,Regne Unit,2174.7,
2017,IRL,Irlanda,300.3,
2017,ITA,Itàlia,1208.9,
2017,JPN,Japó,235.3,
2017,NLD,Països Baixos,785.3,
2017,PRT,Portugal,174,
2017,RUS,Rússia,701.6,
2017,USA,EUA,1114.2,
2016,ARG,Argentina,188.2,
2016,BEL,Bèlgica,435.2,
2016,BRA,Brasil,166.6,
2016,CAN,Canadà,168,
2016,CHE,Suïssa,323.3,
2016,CHN,Xina,198.1,
2016,DEU,Alemanya,1538.6,
2016,DNK+FIN+NOR+SWE,Països nòrdics,744.5,
2016,FRA,França,4574.4,
2016,GBR,Regne Unit,2061,
2016,IRL,Irlanda,353.9,
2016,ITA,Itàlia,1189.1,
2016,JPN,Japó,263.8,
2016,NLD,Països Baixos,737.5,
2016,PRT,Portugal,215.7,
2016,RUS,Rússia,561.5,
2016,USA,EUA,864.1,
