 Visitants estrangers amb destinació principal a Catalunya. Per motiu del viatge, tipus de viatger, via d'accés, país de residència, forma d'organització i mes
Tipus de viatger / Motiu del viatge / temps
Mètriques: Visitants
Destinació principal: Catalunya

Via d'accés:Total
País de residència:Total
forma d'organització viatge:Total
(p);"Dada provisional"
(*);"Estimació amb alta variabilitat"
(u);"Dada amb baixa fiabilitat"
(:);"Dada no disponible"
Font: Idescat, a partir de dades de l'Estadística de moviments turístics en frontera i Enquesta de despesa turística de l'INE.
https://www.idescat.cat/visor/?id=turest&dataset=1&cc=true&cm=factor_ind_factor&cd=t.mes,terr.ccaa,mv.mv,tv.tv&cf=t.mes[202405]&rows=temps_24050&filters=territori_emtf_25077.09&rows=n4_emtf_dim_motiu_princ_viatg_25076&columns=n4_emtf_dim_codi_questionari_25072&filters=concept.factor_ind_factor&tc=true&tm=factor_ind_factor&td=t.mes,terr.ccaa,mv.mv,tv.tv,factor_ind_factor#
"temps";"Destinació principal";"Motiu del viatge";"Tipus de viatger";Mètriques;Valors;estatus;Dada provisional;
"05/2024";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1743";"";"p"
"05/2024";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"362,8";"";"p"
"05/2024";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2105,7";"";"p"
"04/2024";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1318,5";"";"p"
"04/2024";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"275,1";"";"p"
"04/2024";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1593,6";"";"p"
"03/2024";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1036,4";"";"p"
"03/2024";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"216,6";"";"p"
"03/2024";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1253";"";"p"
"02/2024";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"753,9";"";"p"
"02/2024";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"184,5";"";"p"
"02/2024";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"938,4";"";"p"
"01/2024";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"814,5";"";"p"
"01/2024";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"135,9";"";"p"
"01/2024";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"950,4";"";"p"
"12/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"818,1";"";""
"12/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"223,8";"";""
"12/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1041,8";"";""
"11/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"908";"";""
"11/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"244,6";"";""
"11/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1152,6";"";""
"10/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1352,7";"";""
"10/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"269,4";"";""
"10/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1622";"";""
"09/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1612,3";"";""
"09/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"328";"";""
"09/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1940,3";"";""
"08/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"2055,8";"";""
"08/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"382";"";""
"08/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2437,8";"";""
"07/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"2124,6";"";""
"07/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"495,9";"";""
"07/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2620,6";"";""
"06/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1582,2";"";""
"06/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"335,7";"";""
"06/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1918";"";""
"05/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1694,2";"";""
"05/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"374,4";"";""
"05/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2068,6";"";""
"04/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1285";"";""
"04/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"373,4";"";""
"04/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1658,4";"";""
"03/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"791,3";"";""
"03/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"234,7";"";""
"03/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1026,1";"";""
"02/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"736,9";"";""
"02/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"236,4";"";""
"02/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"973,2";"";""
"01/2023";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"666,8";"";""
"01/2023";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"162,2";"";""
"01/2023";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"829";"";""
"12/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"662,9";"";""
"12/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"183,2";"";""
"12/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"846,1";"";""
"11/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"760,3";"";""
"11/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"254,9";"";""
"11/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1015,3";"";""
"10/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1247";"";""
"10/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"468,9";"";""
"10/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1715,9";"";""
"09/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1404,8";"";""
"09/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"398,7";"";""
"09/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1803,5";"";""
"08/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1739,1";"";""
"08/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"507";"";""
"08/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2246,1";"";""
"07/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1862,1";"";""
"07/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"489";"";""
"07/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2351,1";"";""
"06/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1434,5";"";""
"06/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"353,3";"";""
"06/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1787,7";"";""
"05/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1197,1";"";""
"05/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"390,5";"";""
"05/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1587,6";"";""
"04/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"943,4";"";""
"04/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"239,3";"";""
"04/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1182,7";"";""
"03/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"519,8";"";""
"03/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"163,1";"";""
"03/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"682,9";"";""
"02/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"502";"";""
"02/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"259,3";"";""
"02/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"761,3";"";""
"01/2022";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"372,5";"";""
"01/2022";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"179,4";"";""
"01/2022";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"551,9";"";""
"12/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"438,6";"";""
"12/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"223";"";""
"12/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"661,6";"";""
"11/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"478,2";"";""
"11/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"205,2";"";""
"11/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"683,5";"";""
"10/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"726,5";"";""
"10/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"262";"";""
"10/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"988,5";"";""
"09/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"768,8";"";""
"09/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"286,9";"";""
"09/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1055,7";"";""
"08/2021";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1033,5";"";""
"08/2021";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"425,4";"";""
"08/2021";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1458,9";"";""
